cve_id,cvss_variance,nvd_score,nvd_cvss_version,github_score,github_cvss_version,assigning_cna,nvd_status,published_date
CVE-2025-47735,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed,2025-05-09
CVE-2025-47737,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed,2025-05-09
CVE-2025-48751,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed,2025-05-24
CVE-2025-48752,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed,2025-05-24
CVE-2025-48756,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed,2025-05-24
CVE-2024-47821,6.8,2.3,3.1,9.1,3.1,github,Analyzed,2024-10-25
CVE-2024-58266,6.6,9.8,3.1,3.2,3.1,mitre,Analyzed,2025-07-27
CVE-2025-53014,6.1,9.8,3.1,3.7,3.1,github,Modified,2025-07-14
CVE-2025-57807,6.0,9.8,3.1,3.8,3.1,github,Modified,2025-09-05
CVE-2024-38369,5.7,4.3,3.1,10.0,3.1,github,Modified,2024-06-24
CVE-2025-1412,5.7,8.8,3.1,3.1,3.1,mattermost,Analyzed,2025-02-24
CVE-2025-46653,5.7,8.8,3.1,3.1,3.1,mitre,Analyzed,2025-04-26
CVE-2024-42447,5.6,9.8,3.1,4.2,3.1,apache,Modified,2024-08-05
CVE-2024-39887,5.5,9.8,3.1,4.3,3.1,apache,Modified,2024-07-16
CVE-2024-42850,5.5,9.8,3.1,4.3,3.1,mitre,Analyzed,2024-08-16
CVE-2026-33529,5.5,8.8,3.1,3.3,3.1,github,Analyzed,2026-03-26
CVE-2025-31116,5.4,9.8,3.1,4.4,3.1,github,Analyzed,2025-03-31
CVE-2024-53861,5.3,7.5,3.1,2.2,3.1,github,Analyzed,2024-11-29
CVE-2025-32021,5.3,7.5,3.1,2.2,3.1,github,Analyzed,2025-04-15
CVE-2025-47241,5.3,4.0,3.1,9.3,3.1,mitre,Deferred,2025-05-03
CVE-2025-54314,5.1,2.8,3.1,7.9,3.1,mitre.org,Deferred,2025-07-20
CVE-2024-5798,4.9,7.5,3.1,2.6,3.1,hashicorp,Modified,2024-06-12
CVE-2024-47825,4.7,8.7,3.1,4.0,3.1,github,Analyzed,2024-10-21
CVE-2023-53159,4.6,9.1,3.1,4.5,3.1,mitre,Analyzed,2025-07-28
CVE-2024-58261,4.6,7.5,3.1,2.9,3.1,mitre,Analyzed,2025-07-27
CVE-2025-48754,4.6,7.5,3.1,2.9,3.1,mitre,Analyzed,2025-05-24
CVE-2024-34107,4.5,9.8,3.1,5.3,3.1,adobe,Modified,2024-06-13
CVE-2024-47819,4.5,8.7,3.1,4.2,3.1,github,Analyzed,2024-10-22
CVE-2025-25274,4.5,8.8,3.1,4.3,3.1,mattermost,Analyzed,2025-03-21
CVE-2026-25983,4.5,9.8,3.1,5.3,3.1,github,Analyzed,2026-02-24
CVE-2026-25986,4.5,9.8,3.1,5.3,3.1,github,Analyzed,2026-02-24
CVE-2024-28103,4.4,9.8,3.1,5.4,3.1,github,Modified,2024-06-04
CVE-2024-45054,4.4,6.7,3.1,2.3,3.1,github,Analyzed,2024-08-28
CVE-2024-45395,4.4,7.5,3.1,3.1,3.1,github,Analyzed,2024-09-04
CVE-2024-47197,4.4,7.5,3.1,3.1,3.1,apache,Modified,2024-09-26
CVE-2024-5657,4.4,8.1,3.1,3.7,3.1,1e3a9e0f-5156-4bf8-b8a3-cc311bfc0f4a,Modified,2024-06-06
CVE-2025-59717,4.4,9.8,3.1,5.4,3.1,mitre,Analyzed,2025-09-19
CVE-2025-67856,4.4,9.8,3.1,5.4,3.1,puiterwijk,Modified,2026-02-03
CVE-2026-25960,4.4,9.8,3.1,5.4,3.1,github,Analyzed,2026-03-09
