cve_id,ghsa_id,ghsa_url,github_cvss_score,github_cvss_version,nvd_status,assigning_cna
CVE-2021-47853,GHSA-86gh-c8r8-xwhq,https://github.com/advisories/GHSA-86gh-c8r8-xwhq,8.8,3.1,Rejected,vulncheck
CVE-2022-50807,GHSA-r7vr-wg3f-8hr9,https://github.com/advisories/GHSA-r7vr-wg3f-8hr9,9.8,3.1,Rejected,vulncheck
CVE-2024-10096,GHSA-xqgj-r6xv-9cw4,https://github.com/advisories/GHSA-xqgj-r6xv-9cw4,9.8,3.0,Rejected,huntr
CVE-2024-34511,GHSA-34rf-p3r3-58x2,https://github.com/advisories/GHSA-34rf-p3r3-58x2,6.5,3.1,Rejected,mitre
CVE-2024-36610,GHSA-cg28-v4wq-whv5,https://github.com/advisories/GHSA-cg28-v4wq-whv5,9.8,3.1,Rejected,mitre
CVE-2024-36811,GHSA-cr7j-rwmv-vgch,https://github.com/advisories/GHSA-cr7j-rwmv-vgch,8.8,3.1,Rejected,mitre
CVE-2024-40430,GHSA-x72p-g37q-4xr9,https://github.com/advisories/GHSA-x72p-g37q-4xr9,6.5,3.1,Rejected,mitre
CVE-2024-4109,GHSA-22c5-cpvr-cfvq,https://github.com/advisories/GHSA-22c5-cpvr-cfvq,7.5,3.1,Rejected,redhat
CVE-2024-43372,GHSA-rhm7-7469-rcpw,https://github.com/advisories/GHSA-rhm7-7469-rcpw,,,Rejected,github
CVE-2024-4460,GHSA-7gjr-hcc3-xfr4,https://github.com/advisories/GHSA-7gjr-hcc3-xfr4,4.3,3.0,Rejected,huntr
CVE-2024-4642,GHSA-cqh9-jfqr-h9jj,https://github.com/advisories/GHSA-cqh9-jfqr-h9jj,7.7,3.0,Rejected,huntr
CVE-2024-51999,GHSA-pj86-cfqh-vqx6,https://github.com/advisories/GHSA-pj86-cfqh-vqx6,,,Rejected,github
CVE-2024-57000,GHSA-xg2h-7cxj-3gvh,https://github.com/advisories/GHSA-xg2h-7cxj-3gvh,9.8,3.1,Rejected,mitre
CVE-2024-6484,GHSA-9mvj-f7w8-pvh2,https://github.com/advisories/GHSA-9mvj-f7w8-pvh2,6.4,3.1,Rejected,36c7be3b-2937-45df-85ea-ca7133ea542c
CVE-2024-6531,GHSA-vc8w-jr9v-vj7f,https://github.com/advisories/GHSA-vc8w-jr9v-vj7f,6.4,3.1,Rejected,36c7be3b-2937-45df-85ea-ca7133ea542c
CVE-2024-7804,GHSA-4vmg-rw8f-92f9,https://github.com/advisories/GHSA-4vmg-rw8f-92f9,9.8,3.0,Rejected,huntr
CVE-2024-9052,GHSA-pgr7-mhp5-fgjp,https://github.com/advisories/GHSA-pgr7-mhp5-fgjp,9.8,3.0,Rejected,huntr
CVE-2025-0655,GHSA-gjxm-x497-4h6h,https://github.com/advisories/GHSA-gjxm-x497-4h6h,9.8,3.0,Rejected,huntr
CVE-2025-11569,GHSA-gj5f-73vh-wpf7,https://github.com/advisories/GHSA-gj5f-73vh-wpf7,,,Rejected,snyk
CVE-2025-2901,GHSA-f7jh-m6wp-jm7f,https://github.com/advisories/GHSA-f7jh-m6wp-jm7f,4.6,3.1,Rejected,redhat
CVE-2025-2967,GHSA-xfqf-5rhg-5c73,https://github.com/advisories/GHSA-xfqf-5rhg-5c73,3.5,3.1,Rejected,ff5b8ace-8b95-4078-9743-eac1ca5451de
CVE-2025-3261,GHSA-5p82-2q3r-wj3m,https://github.com/advisories/GHSA-5p82-2q3r-wj3m,,,Rejected,596c5446-0ce5-4ba2-aa66-48b3b757a647
CVE-2025-34075,GHSA-hqp6-mjw3-f586,https://github.com/advisories/GHSA-hqp6-mjw3-f586,,,Rejected,vulncheck
CVE-2025-34351,GHSA-gx77-xgc2-4888,https://github.com/advisories/GHSA-gx77-xgc2-4888,,,Rejected,vulncheck
CVE-2025-43774,GHSA-qgj5-4qvg-2f8c,https://github.com/advisories/GHSA-qgj5-4qvg-2f8c,,,Rejected,liferay
CVE-2025-54371,GHSA-rm8p-cx58-hcvx,https://github.com/advisories/GHSA-rm8p-cx58-hcvx,7.5,3.1,Rejected,github
CVE-2025-63700,GHSA-3mm3-wfpv-q85g,https://github.com/advisories/GHSA-3mm3-wfpv-q85g,7.5,3.1,Rejected,mitre
CVE-2025-8022,GHSA-4j66-8f4r-3pjx,https://github.com/advisories/GHSA-4j66-8f4r-3pjx,8.8,3.1,Rejected,snyk
CVE-2026-25630,GHSA-h3q6-jfrg-3x6q,https://github.com/advisories/GHSA-h3q6-jfrg-3x6q,,,Rejected,github
CVE-2026-25984,GHSA-273h-m46v-96q4,https://github.com/advisories/GHSA-273h-m46v-96q4,3.7,3.1,Rejected,github
CVE-2026-26995,GHSA-rrxv-pmq9-x67r,https://github.com/advisories/GHSA-rrxv-pmq9-x67r,,,Rejected,github
CVE-2026-28483,GHSA-r54r-wmmq-mh84,https://github.com/advisories/GHSA-r54r-wmmq-mh84,,,Rejected,vulncheck
CVE-2026-30916,GHSA-6f6w-6j58-rq76,https://github.com/advisories/GHSA-6f6w-6j58-rq76,,,Rejected,github
CVE-2026-32066,GHSA-wr6m-jg37-68xh,https://github.com/advisories/GHSA-wr6m-jg37-68xh,,,Rejected,vulncheck
CVE-2026-33817,GHSA-6jwv-w5xf-7j27,https://github.com/advisories/GHSA-6jwv-w5xf-7j27,6.2,3.1,Rejected,golang
CVE-2026-34508,GHSA-8288-jpqp-95fx,https://github.com/advisories/GHSA-8288-jpqp-95fx,6.5,3.1,Rejected,vulncheck
CVE-2026-39398,GHSA-7853-gqqm-vcwx,https://github.com/advisories/GHSA-7853-gqqm-vcwx,,,Rejected,github
CVE-2026-4427,GHSA-x6gf-mpr2-68h6,https://github.com/advisories/GHSA-x6gf-mpr2-68h6,7.5,3.1,Rejected,redhat
